;roles_roles;roles_keywords
325;student;student
330;researcher;r&d($|\W)
332;scientist;(astro|bio|geo)?physic(s|ist)?
333;scientist;^((?!data).)*scientist
334;data_scientist;data analys(t|is)
336;;
338;researcher;research(er)?
340;student;student
341;scientist;(astro|bio|geo)?physic(s|ist)?
342;student;student,phd
344;researcher,manager,scientist;research(er)?,manager,^((?!data).)*scientist
345;scientist;(astro|bio|geo)?physic(s|ist)?
346;tester;test(er|ing)
348;researcher;research(er)?
350;researcher;research(er)?
351;educator;teach(er|ing)
352;researcher;research(er)?
353;developer;develop(er|ment)
355;developer;develop(er|ment)
356;presenter;lecturer
358;student;student
360;student;student
361;developer;programmer
364;researcher;research(er)?
365;student;student
366;;
368;student;student
370;researcher,presenter;research(er)?,lecturer
374;data_scientist;data(\s|-)scien(ce|tist)
377;researcher;research(er)?
378;scientist;(astro|bio|geo)?physic(s|ist)?
384;scientist;bioinformatic(s|ian)
385;marketer,manager,analyst;market(er|ing),manager,analytics
387;scientist;(astro|bio|geo)?physic(s|ist)?
389;developer;develop(er|ment)
393;educator;instructor
394;student;student
396;scientist;(astro|bio|geo)?physic(s|ist)?
398;researcher,educator;research(er)?,teach(er|ing),professor
399;developer;programmer
400;data_scientist;data(\s|-)scien(ce|tist)
402;manager;manager
403;researcher;research(er)?
406;financial_analyst;economi(c|st)
408;researcher;research(er)?
411;student,researcher;post(\s|-)?doc,research(er)?
412;data_scientist;data(\s|-)scien(ce|tist)
413;researcher;research(er)?
414;scientist;^((?!data).)*scientist
418;presenter;lecturer
419;researcher;research(er)?
421;;
425;student;student
426;educator;educator
428;scientist;bioinformatic(s|ian)
430;independent;personal use
431;scientist;spectroscopist
434;student;student
437;data_scientist;data analys(t|is)
439;manager;leader
441;researcher,educator;research(er)?,professor
444;scientist;(astro|bio|geo)?physic(s|ist)?
445;student;student,phd
448;statistician;statistician
450;student,researcher;student,research(er)?
452;data_scientist,scientist;data analys(t|is),^((?!data).)*scientist
453;scientist,educator;(astro|bio|geo)?physic(s|ist)?,teach(er|ing)
456;financial_analyst;financial (model(er|ing)|analyst)
458;researcher;research(er)?
460;researcher;research(er)?
462;student,researcher;student,research(er)?
463;engineer;^((?!software).)*engineer
465;researcher,engineer;r&d($|\W),^((?!software).)*engineer
471;researcher,educator;research(er)?,teach(er|ing),professor
472;student,developer,scientist;student,phd,develop(er|ment),(astro|bio|geo)?physic(s|ist)?
473;scientist,educator;(astro|bio|geo)?physic(s|ist)?,teach(er|ing)
474;researcher;research(er)?
475;scientist;(astro|bio|geo)?physic(s|ist)?
480;data_scientist;data(\s|-)scien(ce|tist)
482;developer,scientist;develop(er|ment),(astro|bio|geo)?physic(s|ist)?
483;scientist;(astro|bio|geo)?physic(s|ist)?
486;data_scientist;data(\s|-)scien(ce|tist)
487;researcher;research(er)?
488;engineer;^((?!software).)*engineer
491;scientist;(astro|bio|geo)?physic(s|ist)?
492;student;student
